Subspace,Breakdown,Ce,Insight_type,Sig,Imp,Score,Key,Value
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.24094,0.24094,"['2007', '2008', '2009', '2010', '2011']","[264490.19999999995, 126906.19999999995, -84822.80000000005, -111107.80000000005, -195465.80000000005]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (%, Brand)]",Point,0.99999,0.24094,0.24094,"['2008', '2007', '2009', '2010', '2011']","[0.2647, 0.2618, 0.2567, 0.2273, 0.1929]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (%, Year)]",Point,0.99999,0.24094,0.24094,"['2007', '2008', '2009', '2010', '2011']","[0.2501, 0.224, 0.1839, 0.179, 0.163]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (rank, Brand)]",Point,0.99999,0.24094,0.24094,"['2010', '2011', '2007', '2008', '2009']","[2, 2, 1, 1, 1]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (prev, Year)]",Shape,0.94612,0.25041,0.23692,"['2011', '2010', '2007', '2009', '2008']","[241817, 144151, 0, -114807, -179363]"
"{Year: 2007, Brand: *, Category: *}",Brand,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.23013,0.23013,"['Toyota', 'Honda', 'Ford', 'GMC', 'BMW', 'Mazda', 'Volkswagen', 'Hyundai']","[264490.19999999995, 147850.80000000005, 106350.80000000005, 86654.20000000001, 63161.79999999999, 31664.20000000001, 4706.199999999997, -44270.79999999999]"
"{Year: 2007, Brand: *, Category: *}",Category,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.23013,0.23013,"['SUV', 'Subcompact', 'Midsize', 'Pickup', 'Sporty', 'Compact', 'Fullsize', 'MPV']","[253739.19999999995, 110649.80000000005, 93960.0, 71537.4, 59324.0, 48013.19999999995, 27479.600000000006, -4095.7999999999993]"
"{Year: 2007, Brand: *, Category: *}",Category,"[(SUM, Sales), (%, Category)]",Point,1.0,0.23013,0.23013,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Sporty', 'Fullsize', 'MPV']","[0.322, 0.2492, 0.1873, 0.1174, 0.0598, 0.033, 0.0285, 0.0027]"
"{Year: 2007, Brand: *, Category: *}",Brand,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.23013,0.23013,"['Toyota', 'Ford', 'Honda', 'GMC', 'Hyundai', 'BMW', 'Mazda', 'Volkswagen']","[0.2618, 0.2387, 0.205, 0.0842, 0.0795, 0.0609, 0.0466, 0.0232]"
"{Year: 2007, Brand: *, Category: *}",Brand,"[(SUM, Sales), (rank, Brand)]",Point,1.0,0.23013,0.23013,"['Volkswagen', 'Mazda', 'BMW', 'Hyundai', 'GMC', 'Honda', 'Ford', 'Toyota']","[8, 7, 6, 5, 4, 3, 2, 1]"
